% 25176
% tac	manuf	model	aka
106600	Cisco	WRTU54G	
270400	Siemens	SL55	S30880-S4910,SL56
271488	LG	C1400	1400,4010,4100
274752	LG	G4011	
276800	LG	C1200	
276864	LG	C1300	C1300i,G4015
278144	Nokia	1100b	RH-36
279616	LG	G4020	G4050
281472	LG	C1300	C1300i,G4015
281536	LG	C1300	C1300i,G4015
282432	LG	C1300	C1300i,G4015
284672	LG	F9100	
285952	LG	C1300	C1300i,G4015
287040	LG	C1300	C1300i,G4015
292992	LG	MG200	C2000,MG200C
299776	Nokia	6030	6030b,RM-229,RM-74,RM-74 (DCT-4),RM-75
301440	Nokia	6060	6060v,6061,6062,RH-73,RH-73 (DCT-4),RH-74,RH-97,RH-97 (DCT-4)
329216	Apple	iPhone 3GS	iPhone 3GS 32GB
334592	Apple	iPhone 3GS	iPhone 3GS 32GB
334720	Apple	iPhone 3GS	iPhone 3GS 32GB
334976	Apple	iPhone 3GS	iPhone 3GS 32GB
335040	Apple	iPhone 3GS	iPhone 3GS 32GB
345216	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
345664	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
349888	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
350272	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
