%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	nDPIclass	srcIpContinent	srcIpCountry	srcIpCity	srcIpPostcode	srcIpAccuracy	srcIpLat	srcIpLong	srcIpTimeZone	dstIpContinent	dstIpCountry	dstIpCity	dstIpPostcode	dstIpAccuracy	dstIpLat	dstIpLong	dstIpTimeZone	geoStat	pktsSnt	pktsRcvd	padBytesSnt	l7BytesSnt	l7BytesRcvd	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	minIAT	maxIAT	avgIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAvgWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpJA4T	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAvg	tcpRTTAckTripJitAvg	tcpRTTSseqAA	tcpRTTAckJitAvg	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	dnsStat	dnsHdrOPField	dnsHFlg_OpC_RetC	dnsCntQu_Asw_Aux_Add	dnsAAAqF	dnsQname	dnsAname	dnsAPname	dns4Aaddress	dns6Aaddress	dnsQType	dnsQClass	dnsAType	dnsAClass	dnsATTL	dnsMXpref	dnsSRVprio	dnsSRVwgt	dnsSRVprt	dnsOptStat	sslStat	sslProto	sslFlags	sslVersion	sslNumRecVer	sslRecVer	sslNumHandVer	sslHandVer	sslVuln	sslAlert	sslCipher	sslNumExt	sslExtList	sslNumSuppVer	sslSuppVer	sslNumSigAlg	sslSigAlg	sslNumECPt	sslECPt	sslNumECFormats	sslECFormats	sslNumALPN	sslALPNList	sslNumALPS	sslALPSList	sslNumNPN	sslNPNList	sslNumCipher	sslCipherList	sslNumCC_A_H_AD_HB	sslSessIdLen	sslGMTTime	sslServerName	sslCertVersion	sslCertSerial	sslCertSha1FP	sslCNotValidBefore_after_lifetime	sslCSigAlg	sslCKeyAlg	sslCPKeyType_Size	sslCSubjectCommonName	sslCSubjectOrgName	sslCSubjectOrgUnit	sslCSubjectLocality	sslCSubjectState	sslCSubjectCountry	sslCIssuerCommonName	sslCIssuerOrgName	sslCIssuerOrgUnit	sslCIssuerLocality	sslCIssuerState	sslCIssuerCountry	sslJA3Hash	sslJA3Desc	sslJA4	sslJA4Desc	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt	tCnt	Ps_Iat_Cnt_PsCnt_IatCnt	dsMinPl	dsMaxPl	dsMeanPl	dsLowQuartilePl	dsMedianPl	dsUppQuartilePl	dsIqdPl	dsModePl	dsRangePl	dsStdPl	dsRobStdPl	dsSkewPl	dsExcPl	dsMinIat	dsMaxIat	dsMeanIat	dsLowQuartileIat	dsMedianIat	dsUppQuartileIat	dsIqdIat	dsModeIat	dsRangeIat	dsStdIat	dsRobStdIat	dsSkewIat	dsExcIat
A	7	0x0800000000008000	1751528867.690412000	1751528886.593546000	18.903134000	1	3	eth:ipv6:tcp	dc:f5:05:6c:94:45	a2:78:2d:14:60:64	0x86dd		2401:4900:55b5:174c:82d:35b6:789d:15bf	in	"Bharti Airtel Limited"	56899	2600:1901:1:7c5::	-	"-"	443	6	0x00	1	dc:f5:05:6c:94:45_a2:78:2d:14:60:64_7	AzureWave,TW_-	443	https	"TLS"	AS	IN	"--"	--	100	20.000000	77.000000	"Asia/Kolkata"	NA	US	"--"	--	100	37.751000	-97.822000	"America/Chicago"	0x00	7	0	0	0	0	0	0	0	0	0	9.601442	2.700448	3.477488	0.370309	0	1	0	0x0011	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3441711767	2	0	0	7	0	0	0	254	177.8	0	254	1	0	0	0	0x0515	0x0000	254_00_00_00	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0x0000	0x0000	0x00_0x0000_0x0000	0_0_0_0	0																0x00000000	0x00000000	0x00	0x0000	0		0		0x00	0x0000000000000000	0x0000	0		0		0		0		0		0		0		0		0		0_0_0_0_0	0																										13	1	5	25	1.923077	5	183	45838	4	0_0_1_7_1;0_300_1_7_1;0_600_1_7_1;0_1000_4_7_4	0	0	0	0	0	0	0	0	0	0	0	0	0	302.5	1000	817.9167	1000	1000	1000	0	1000	697.5	297.8608	0	-1.014986	-0.6515288
A	6	0x0800000000008000	1751528867.690151000	1751528886.593980000	18.903829000	1	3	eth:ipv6:tcp	dc:f5:05:6c:94:45	a2:78:2d:14:60:64	0x86dd		2401:4900:55b5:174c:82d:35b6:789d:15bf	in	"Bharti Airtel Limited"	56897	2600:1901:1:7c5::	-	"-"	443	6	0x00	1	dc:f5:05:6c:94:45_a2:78:2d:14:60:64_7	AzureWave,TW_-	443	https	"TLS"	AS	IN	"--"	--	100	20.000000	77.000000	"Asia/Kolkata"	NA	US	"--"	--	100	37.751000	-97.822000	"America/Chicago"	0x00	7	0	0	0	0	0	0	0	0	0	9.600933	2.700547	3.477247	0.3702953	0	1	0	0x0011	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	532067494	2	0	0	7	0	0	0	258	180.6	0	258	1	0	0	0	0x0515	0x0000	258_00_00_00	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0x0000	0x0000	0x00_0x0000_0x0000	0_0_0_0	0																0x00000000	0x00000000	0x00	0x0000	0		0		0x00	0x0000000000000000	0x0000	0		0		0		0		0		0		0		0		0		0_0_0_0_0	0																										13	1	4	24	1.846154	6	183	45838	4	0_0_1_7_1;0_300_1_7_1;0_600_1_7_1;0_1000_4_7_4	0	0	0	0	0	0	0	0	0	0	0	0	0	302.5	1000	817.9167	1000	1000	1000	0	1000	697.5	297.8608	0	-1.014986	-0.6515288
A	8	0x0800000000008000	1751528867.690464000	1751528886.594085000	18.903621000	1	3	eth:ipv6:tcp	dc:f5:05:6c:94:45	a2:78:2d:14:60:64	0x86dd		2401:4900:55b5:174c:82d:35b6:789d:15bf	in	"Bharti Airtel Limited"	56895	2600:1901:1:7c5::	-	"-"	443	6	0x00	1	dc:f5:05:6c:94:45_a2:78:2d:14:60:64_7	AzureWave,TW_-	443	https	"TLS"	AS	IN	"--"	--	100	20.000000	77.000000	"Asia/Kolkata"	NA	US	"--"	--	100	37.751000	-97.822000	"America/Chicago"	0x00	7	0	0	0	0	0	0	0	0	0	9.600963	2.700517	3.477288	0.3702994	0	1	0	0x0011	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2542924476	2	0	0	7	0	0	0	254	177.8	0	254	1	0	0	0	0x0515	0x0000	254_00_00_00	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0x0000	0x0000	0x00_0x0000_0x0000	0_0_0_0	0																0x00000000	0x00000000	0x00	0x0000	0		0		0x00	0x0000000000000000	0x0000	0		0		0		0		0		0		0		0		0		0_0_0_0_0	0																										13	1	3	23	1.769231	7.666667	183	45838	4	0_0_1_7_1;0_300_1_7_1;0_600_1_7_1;0_1000_4_7_4	0	0	0	0	0	0	0	0	0	0	0	0	0	302.5	1000	817.9167	1000	1000	1000	0	1000	697.5	297.8608	0	-1.014986	-0.6515288
A	5	0x0800000000008000	1751528867.689968000	1751528886.595492000	18.905524000	1	3	eth:ipv6:tcp	dc:f5:05:6c:94:45	a2:78:2d:14:60:64	0x86dd		2401:4900:55b5:174c:82d:35b6:789d:15bf	in	"Bharti Airtel Limited"	56896	2600:1901:1:7c5::	-	"-"	443	6	0x00	1	dc:f5:05:6c:94:45_a2:78:2d:14:60:64_7	AzureWave,TW_-	443	https	"TLS"	AS	IN	"--"	--	100	20.000000	77.000000	"Asia/Kolkata"	NA	US	"--"	--	100	37.751000	-97.822000	"America/Chicago"	0x00	7	0	0	0	0	0	0	0	0	0	9.60148	2.700789	3.47742	0.3702622	0	1	0	0x0011	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2626013956	2	0	0	7	0	0	0	258	180.6	0	258	1	0	0	0	0x0515	0x0000	258_00_00_00	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0x0000	0x0000	0x00_0x0000_0x0000	0_0_0_0	0																0x00000000	0x00000000	0x00	0x0000	0		0		0x00	0x0000000000000000	0x0000	0		0		0		0		0		0		0		0		0		0_0_0_0_0	0																										13	1	2	22	1.692308	11	183	45838	4	0_0_1_7_1;0_300_1_7_1;0_600_1_7_1;0_1000_4_7_4	0	0	0	0	0	0	0	0	0	0	0	0	0	302.5	1000	817.9167	1000	1000	1000	0	1000	697.5	297.8608	0	-1.014986	-0.6515288
A	9	0x0800000000008000	1751528867.690565000	1751528886.595813000	18.905248000	1	3	eth:ipv6:tcp	dc:f5:05:6c:94:45	a2:78:2d:14:60:64	0x86dd		2401:4900:55b5:174c:82d:35b6:789d:15bf	in	"Bharti Airtel Limited"	56898	2600:1901:1:7c5::	-	"-"	443	6	0x00	1	dc:f5:05:6c:94:45_a2:78:2d:14:60:64_7	AzureWave,TW_-	443	https	"TLS"	AS	IN	"--"	--	100	20.000000	77.000000	"Asia/Kolkata"	NA	US	"--"	--	100	37.751000	-97.822000	"America/Chicago"	0x00	7	0	0	0	0	0	0	0	0	0	9.600726	2.70075	3.477074	0.3702675	0	1	0	0x0011	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1054200620	2	0	0	7	0	0	0	256	179.2	0	256	1	0	0	0	0x0515	0x0000	256_00_00_00	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0x0000	0x0000	0x00_0x0000_0x0000	0_0_0_0	0																0x00000000	0x00000000	0x00	0x0000	0		0		0x00	0x0000000000000000	0x0000	0		0		0		0		0		0		0		0		0		0_0_0_0_0	0																										13	1	1	21	1.615385	21	183	45838	4	0_0_1_7_1;0_300_1_7_1;0_600_1_7_1;0_1000_4_7_4	0	0	0	0	0	0	0	0	0	0	0	0	0	302.5	1000	817.9167	1000	1000	1000	0	1000	697.5	297.8608	0	-1.014986	-0.6515288
A	16	0x0400000000004000	1751528878.904124000	1751528879.024792000	0.120668000	1	3	eth:ipv4:tcp	dc:f5:05:6c:94:45	a2:78:2d:14:60:64	0x0800		172.20.10.4	05	"Private network"	56910	1.1.1.1	us	"APNIC and Cloudflare DNS Resol"	53	6	0x00	1	dc:f5:05:6c:94:45_a2:78:2d:14:60:64_6	AzureWave,TW_-	53	domain	"DNS"	--	--	"--"	--	0	0.000000	0.000000	""	OC	AU	"--"	--	1000	-33.494000	143.210400	"Australia/Sydney"	0x00	6	5	0	45	118	0	43	7.5	18.27418	0	0.054318	0.02011133	0.02773922	49.72321	372.924	0.09090909	-0.4478528	0x0a11	1	5	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2365470856	5	45	0	5	118	0	45	64240	65400.6	64240	65792	1	1	2	0	0x011b	0x0000	64240_2-1-3-1-1-41460_8	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.05415098	0.027576	0.05415098	0.0349322	0.01346425	0.05431795	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0x8001	0x0000	0x00_0x0000_0x0000	0_0_0_0	0																0x00000000	0x00000000	0x00	0x0000	0		0		0x00	0x0000000000000000	0x0000	0		0		0		0		0		0		0		0		0		0_0_0_0_0	0																										1	1	6	6	6	1	18	135	6	0_0_1_4_3;0_32_1_4_1;0_33_1_4_1;0_54_1_4_1;2_0_1_1_3;43_0_1_1_3	0	43	7.5	0	0	2	2	0	43	15.89287	1.4826	1.780521	1.184542	0.5	54.5	24.3	16.5	33	44	27.5	0.5	54	23.43501	20.38575	0.04150385	-1.461218
B	16	0x0400000000004001	1751528878.958275000	1751528879.024561000	0.066286000	1	3	eth:ipv4:tcp	a2:78:2d:14:60:64	dc:f5:05:6c:94:45	0x0800		1.1.1.1	us	"APNIC and Cloudflare DNS Resol"	53	172.20.10.4	05	"Private network"	56910	6	0x00	1	a2:78:2d:14:60:64_dc:f5:05:6c:94:45_5	-_AzureWave,TW	53	domain	"DNS"	OC	AU	"--"	--	1000	-33.494000	143.210400	"Australia/Sydney"	--	--	"--"	--	0	0.000000	0.000000	""	0x00	5	6	0	118	45	0	118	23.6	54.39531	0	0.03217997	0.01325719	0.01765731	75.43071	1780.165	-0.09090909	0.4478528	0x0a11	1	18109	53	53	0	0x00	0x4000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1114562890	5	118	0	5	45	0	118	65535	115336.6	65535	131072	0	1	1	0	0x031b	0x0000	65535_2-1-1-4-1-31400_13	1	6	0x0000001e	1400	8192	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000166976	0.000166976	0.000537984	0.0003176573	0.0001630906	0.03524986	0.01346523	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0x0201	0x8180	0x98_0x0001_0x0001	1_1_0_0	2.697675	"chrome.cloudflare-dns.com"	"chrome.cloudflare-dns.com"	""			65	1	65	1	94	0	0	0	0	0x00000000	0x00000000	0x00000000	0x00	0x0000	0		0		0x00	0x0000000000000000	0x0000	0		0		0		0		0		0		0		0		0		0_0_0_0_0	0																										1	1	5	5	5	1	15	296	4	0_0_2_4_2;0_28_1_4_1;0_32_1_4_1;118_5_1_1_1	0	118	23.6	0	0	29.5	29.5	0	118	47.2	21.86835	1.5	0.2500002	0.5	32.5	16.75	5.5	28.5	32.5	27	0.5	32	16.09089	16.09089	-0.01714923	-1.897185
A	14	0x0400000000004000	1751528878.903276000	1751528879.025058000	0.121782000	1	3	eth:ipv4:tcp	dc:f5:05:6c:94:45	a2:78:2d:14:60:64	0x0800		172.20.10.4	05	"Private network"	56908	1.1.1.1	us	"APNIC and Cloudflare DNS Resol"	53	6	0x00	1	dc:f5:05:6c:94:45_a2:78:2d:14:60:64_6	AzureWave,TW_-	53	domain	"DNS"	--	--	"--"	--	0	0.000000	0.000000	""	OC	AU	"--"	--	1000	-33.494000	143.210400	"Australia/Sydney"	0x00	6	5	0	45	101	0	43	7.5	18.27418	0	0.049745	0.020297	0.02670828	49.26836	369.5128	0.09090909	-0.3835616	0x0a11	1	7	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3215859849	5	45	0	5	101	0	45	64240	65400.6	64240	65792	1	1	2	0	0x011b	0x0000	64240_2-1-3-1-1-41460_8	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.04957094	0.02729101	0.04957094	0.03735239	0.01042073	0.04974496	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0x8001	0x0000	0x00_0x0000_0x0000	0_0_0_0	0																0x00000000	0x00000000	0x00	0x0000	0		0		0x00	0x0000000000000000	0x0000	0		0		0		0		0		0		0		0		0		0_0_0_0_0	0																										1	1	4	4	4	1	18	135	6	0_0_1_4_3;0_32_1_4_1;0_39_1_4_1;0_49_1_4_1;2_0_1_1_3;43_0_1_1_3	0	43	7.5	0	0	2	2	0	43	15.89287	1.4826	1.780521	1.184542	0.5	49.5	24.5	16.5	36	44.5	28	0.5	49	22.72664	20.7564	-0.1937316	-1.701025
B	14	0x0400000000004001	1751528878.952847000	1751528879.024561000	0.071714000	1	3	eth:ipv4:tcp	a2:78:2d:14:60:64	dc:f5:05:6c:94:45	0x0800		1.1.1.1	us	"APNIC and Cloudflare DNS Resol"	53	172.20.10.4	05	"Private network"	56908	6	0x00	1	a2:78:2d:14:60:64_dc:f5:05:6c:94:45_5	-_AzureWave,TW	53	domain	"DNS"	OC	AU	"--"	--	1000	-33.494000	143.210400	"Australia/Sydney"	--	--	"--"	--	0	0.000000	0.000000	""	0x00	5	6	0	101	45	0	101	20.2	46.5587	0	0.03217997	0.01434279	0.01703233	69.7214	1408.372	-0.09090909	0.3835616	0x0a11	1	28791	53	53	0	0x00	0x4000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4176236412	5	101	0	5	45	0	101	65535	115336.6	65535	131072	0	1	1	0	0x031b	0x0000	65535_2-1-1-4-1-31400_13	1	6	0x0000001e	1400	8192	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000174016	0.000174016	0.000544	0.000349852	0.0001781109	0.03770225	0.01042225	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0x0001	0x8180	0x98_0x0001_0x0001	1_2_0_0	2.302325	"chrome.cloudflare-dns.com"	"chrome.cloudflare-dns.com";"chrome.cloudflare-dns.com"	"";""			28	1	28;28	1;1	118;118	0;0	0;0	0;0	0;0	0x00000000;0x00000000	0x00000000	0x00000000	0x00	0x0000	0		0		0x00	0x0000000000000000	0x0000	0		0		0		0		0		0		0		0		0		0_0_0_0_0	0																										1	1	3	3	3	1	15	296	5	0_0_1_4_2;0_11_1_4_1;0_27_1_4_1;0_32_1_4_1;101_0_1_1_2	0	101	20.2	0	0	25.25	25.25	0	101	40.4	18.71782	1.5	0.25	0.5	32.5	18	11.5	27.5	32.5	21	0.5	32	14.70827	14.70827	-0.2090291	-1.595215
A	15	0x0400000000004000	1751528878.903712000	1751528879.072507000	0.168795000	1	3	eth:ipv4:tcp	dc:f5:05:6c:94:45	a2:78:2d:14:60:64	0x0800		172.20.10.4	05	"Private network"	56909	1.1.1.1	us	"APNIC and Cloudflare DNS Resol"	53	6	0x00	1	dc:f5:05:6c:94:45_a2:78:2d:14:60:64_6	AzureWave,TW_-	53	domain	"DNS"	--	--	"--"	--	0	0.000000	0.000000	""	OC	AU	"--"	--	1000	-33.494000	143.210400	"Australia/Sydney"	0x00	6	5	0	45	77	0	43	7.5	18.27418	0	0.061287	0.02813249	0.0353486	35.54607	266.5956	0.09090909	-0.2622951	0x0a11	1	8	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	132406584	5	45	0	5	77	0	45	64240	65400.6	64240	65792	1	1	2	0	0x011b	0x0000	64240_2-1-3-1-1-41460_8	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.06104397	0.046429	0.06104397	0.0569858	0.005983416	0.06128697	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0x8001	0x0000	0x00_0x0000_0x0000	0_0_0_0	0																0x00000000	0x00000000	0x00	0x0000	0		0		0x00	0x0000000000000000	0x0000	0		0		0		0		0		0		0		0		0		0_0_0_0_0	0																										1	1	2	2	2	1	18	135	6	0_0_1_4_2;0_46_1_4_1;0_59_1_4_1;0_61_1_4_1;2_1_1_1_1;43_0_1_1_2	0	43	7.5	0	0	2	2	0	43	15.89287	1.4826	1.780521	1.184542	0.5	61.5	33.9	24	53	60.5	36.5	0.5	61	30.58268	27.05745	-0.3075121	-1.792044
