# Date: 1753804458.000641375 sec (Tue 29 Jul 2025 15:54:18 UTC)
# Tranalyzer 0.9.3 (Anteater), Cobra
# Core configuration: L2, IPv4, IPv6
# SensorID: 666
# PID: 12620
# Priority: 0
# Command line: /home/lavanya/tranalyzer2-0.9.3/tranalyzer2/build/tranalyzer -r ./sf_Wireshark-1/uploaded_file.pcap -w ./sf_Wireshark-1
# HW info: DESKTOP-FJ3QCTM;Linux;6.6.87.2-microsoft-standard-WSL2;#1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025;x86_64
# SW info: libpcap version 1.10.4 (with TPACKET_V3)
#
# Plugins loaded:
#   01: protoStats, version 0.9.3
#   02: basicFlow, version 0.9.3
#   03: macRecorder, version 0.9.3
#   04: portClassifier, version 0.9.3
#   05: nDPI, version 0.9.3
#   06: geoip, version 0.9.3
#   07: basicStats, version 0.9.3
#   08: tcpFlags, version 0.9.3
#   09: tcpStates, version 0.9.3
#   10: icmpDecode, version 0.9.3
#   11: dnsDecode, version 0.9.3
#   12: sslDecode, version 0.9.3
#   13: connStat, version 0.9.3
#   14: pktSIATHisto, version 0.9.3
#   15: descriptiveStats, version 0.9.3
#   16: txtSink, version 0.9.3
#   17: mysqlSink, version 0.9.3
#
# Col No.	Type	Name	Description
1	C	dir	Flow direction
2	U64	flowInd	Flow index
3	H64	flowStat	Flow status and warnings
4	U64.U32	timeFirst	Date time of first packet
5	U64.U32	timeLast	Date time of last packet
6	U64.U32	duration	Flow duration
7	U8	numHdrDesc	Number of different headers descriptions
8	U16:R	numHdrs	Number of headers (depth) in hdrDesc
9	SC:R	hdrDesc	Headers description
10	MAC:R	srcMac	Mac source
11	MAC:R	dstMac	Mac destination
12	H16	ethType	Ethernet type
13	U16:R	vlanID	VLAN IDs
14	IPX	srcIP	Source IP address
15	SC	srcIPCC	Source IP country
16	S	srcIPOrg	Source IP organization
17	U16	srcPort	Source port
18	IPX	dstIP	Destination IP address
19	SC	dstIPCC	Destination IP country
20	S	dstIPOrg	Destination IP organization
21	U16	dstPort	Destination port
22	U8	l4Proto	Layer 4 protocol
23	H8	macStat	macRecorder status
24	U32	macPairs	Number of distinct source/destination MAC addresses pairs
25	MAC_MAC_U64:R	srcMac_dstMac_numP	Source/destination MAC address, number of packets of MAC address combination
26	SC_SC:R	srcMacLbl_dstMacLbl	Source/destination MAC label
27	U16	dstPortClassN	Port based classification of the destination port number
28	SC	dstPortClass	Port based classification of the destination port name
29	S	nDPIclass	nDPI based protocol classification
30	SC	srcIpContinent	IP source continent
31	SC	srcIpCountry	IP source country
32	S	srcIpCity	IP source city
33	SC	srcIpPostcode	IP source postcode
34	U16	srcIpAccuracy	IP source accuracy
35	D	srcIpLat	IP source latitude
36	D	srcIpLong	IP source longitude
37	S	srcIpTimeZone	IP source time zone
38	SC	dstIpContinent	IP destination continent
39	SC	dstIpCountry	IP destination country
40	S	dstIpCity	IP destination city
41	SC	dstIpPostcode	IP destination postcode
42	U16	dstIpAccuracy	IP destination accuracy
43	D	dstIpLat	IP destination latitude
44	D	dstIpLong	IP destination longitude
45	S	dstIpTimeZone	IP destination time zone
46	H8	geoStat	GeoIP status
47	U64	pktsSnt	Number of transmitted packets
48	U64	pktsRcvd	Number of received packets
49	I64	padBytesSnt	Number of transmitted padding bytes
50	U64	l7BytesSnt	Number of transmitted layer 7 bytes
51	U64	l7BytesRcvd	Number of received layer 7 bytes
52	U16	minL7PktSz	Minimum layer 7 packet size
53	U16	maxL7PktSz	Maximum layer 7 packet size
54	F	avgL7PktSz	Average layer 7 packet size
55	F	stdL7PktSz	Standard deviation layer 7 packet size
56	F	minIAT	Minimum IAT
57	F	maxIAT	Maximum IAT
58	F	avgIAT	Average IAT
59	F	stdIAT	Standard deviation IAT
60	F	pktps	Sent packets per second
61	F	bytps	Sent bytes per second
62	F	pktAsm	Packet stream asymmetry
63	F	bytAsm	Byte stream asymmetry
64	H16	tcpFStat	tcpFlags status
65	U16	ipMindIPID	IP minimum delta IP ID
66	U16	ipMaxdIPID	IP maximum delta IP ID
67	U8	ipMinTTL	IP minimum TTL
68	U8	ipMaxTTL	IP maximum TTL
69	U8	ipTTLChg	IP TTL change count
70	H8	ipToS	IP Type of Service hex
71	H16	ipFlags	IP aggregated flags
72	U16	ipOptCnt	IP options count
73	H8_H32	ipOptCpCl_Num	IP aggregated options, copy-class and number
74	U16_U16	ip6OptCntHH_D	IPv6 Hop-by-Hop destination option counts
75	H32_H32	ip6OptHH_D	IPv6 aggregated Hop-by-Hop destination options
76	U32	tcpISeqN	TCP initial sequence number
77	U16	tcpPSeqCnt	TCP packet seq count
78	U64	tcpSeqSntBytes	TCP sent seq diff bytes
79	U16	tcpSeqFaultCnt	TCP sequence number fault count
80	U16	tcpPAckCnt	TCP packet ACK count
81	U64	tcpFlwLssAckRcvdBytes	TCP flawless ACK received bytes
82	U16	tcpAckFaultCnt	TCP ACK number fault count
83	U32	tcpBFlgtMx	TCP Bytes in Flight MAX
84	U32	tcpInitWinSz	TCP initial effective window size
85	F	tcpAvgWinSz	TCP average effective window size
86	U32	tcpMinWinSz	TCP minimum effective window size
87	U32	tcpMaxWinSz	TCP maximum effective window size
88	U16	tcpWinSzDwnCnt	TCP effective window size change down count
89	U16	tcpWinSzUpCnt	TCP effective window size change up count
