# Protocol ID	                       Packets	                         Bytes	Description
  5	                 409 [  0.28%]	               33695 [  0.02%]	DNS
  7	                  39 [  0.03%]	                7436 [  0.00%]	HTTP
 18	                   3 [  0.00%]	                1008 [  0.00%]	DHCP
 46	                 187 [  0.13%]	               88903 [  0.06%]	DataSaver
 70	                  29 [  0.02%]	               10497 [  0.01%]	Yahoo
 91	              128437 [ 88.75%]	           145055972 [ 92.86%]	TLS
102	                  36 [  0.02%]	                3128 [  0.00%]	ICMPV6
107	                 131 [  0.09%]	               65076 [  0.04%]	ADS_Analytic_Track
122	                4652 [  3.21%]	             3695552 [  2.37%]	GMail
124	                  43 [  0.03%]	               22523 [  0.01%]	YouTube
126	                1519 [  1.05%]	              902054 [  0.58%]	Google
133	              116258 [ 80.33%]	           136247939 [ 87.22%]	NetFlix
188	               15774 [ 10.90%]	            11103542 [  7.11%]	QUIC
196	                  51 [  0.04%]	               20645 [  0.01%]	DoH_DoT
201	                  22 [  0.02%]	               12376 [  0.01%]	GoogleMeet
212	                  41 [  0.03%]	               17419 [  0.01%]	Microsoft
220	                   2 [  0.00%]	                 228 [  0.00%]	Cloudflare
239	                 472 [  0.33%]	              343588 [  0.22%]	GoogleServices
